,vehicle,level_1,datetime,speed,y,x,heading,vehicleType,time_interval,distance,heading_interval,Trip,geometry
109812,51G42364,11,2018-04-24 23:51:33,24.0,106.6861,10.779015,132.9481789336233,300,20.0,169.1423764042207,10.596206328896118,35341,POINT (10.779015 106.6861)
109816,51G42364,15,2018-04-24 23:52:32,26.0,106.689496,10.7758685,132.4383233804512,300,19.0,149.3433795529879,1.206463782077407,35341,POINT (10.7758685 106.689496)
109876,51G42396,0,2018-04-24 23:14:46,36.0,106.69485,10.772945,313.5263386909076,300,120.0,456.9914654776017,6.663584750352186,35369,POINT (10.772945 106.69485)
109883,51G42396,7,2018-04-24 23:18:26,44.0,106.68737,10.779805,309.2586274658184,300,20.0,140.0268616670453,7.376124094448925,35369,POINT (10.779805 106.68737)
109887,51G42396,11,2018-04-24 23:19:36,30.0,106.6850025,10.7814875,307.2764578845133,300,20.0,174.06656666781373,1.2831517446791167,35369,POINT (10.7814875 106.6850025)
110015,51G43053,0,2018-04-24 18:48:02,9.0,106.68932320000002,10.7735084,43.26070759401321,300,40.0,280.85946026542916,5.162803627419365,35444,POINT (10.7735084 106.6893232)
110024,51G43053,9,2018-04-24 18:50:12,28.0,106.696436,10.781047625,43.73651671798669,300,10.0,80.85401338798431,1.2101905460501925,35444,POINT (10.781047625 106.696436)
110242,51G43613,0,2018-04-24 19:37:14,33.0,106.68974,10.774146,45.11335223981234,300,30.0,255.2156202079101,47.75829740778246,35550,POINT (10.774146 106.68974)
110251,51G43613,9,2018-04-24 19:40:29,27.0,106.69729,10.782256,43.98702719329393,300,45.0,116.78119248444105,3.8575317848692383,35550,POINT (10.782256 106.69729)
110402,51G43854,0,2018-04-24 22:58:14,28.0,106.6729,10.79079,129.1372839671423,300,15.0,123.54196658114157,132.8517552543492,35623,POINT (10.79079 106.6729)
110403,51G43854,1,2018-04-24 22:58:29,29.0,106.673775,10.790086,120.54359024848064,300,15.0,137.83960779468796,8.593693718661683,35623,POINT (10.790086 106.673775)
110412,51G43854,10,2018-04-24 23:01:44,23.0,106.682076,10.785415,116.94967257565071,300,15.0,91.29034012867149,2.358119246389606,35623,POINT (10.785415 106.682076)
110458,51G43882,0,2018-04-24 18:00:32,27.0,106.682035,10.7915895,286.9601980942879,0,60.0,300.4992332321039,26.59335148431029,35648,POINT (10.7915895 106.682035)
110459,51G43882,1,2018-04-24 18:01:32,18.0,106.67941,10.792387,260.170506064007,0,20.0,127.5082864491465,26.78969203028089,35648,POINT (10.792387 106.67941)
110462,51G43882,4,2018-04-24 18:02:32,17.0,106.67622,10.791675,272.4316967845919,0,20.0,143.22000439939228,15.386122876220384,35648,POINT (10.791675 106.67622)
110466,51G43882,8,2018-04-24 18:03:52,13.0,106.67185,10.791821,266.8499059696169,0,20.0,106.55165592523906,5.198765941015439,35648,POINT (10.791821 106.67185)
110468,51G43882,10,2018-04-24 18:04:32,16.0,106.67003,10.791661,291.88140318972734,0,20.0,161.40654344596788,29.17116510730102,35648,POINT (10.791661 106.67003)
110576,51G44265,0,2018-04-24 17:16:56,22.0,106.6980728,10.7717716,246.01105461689446,300,2.0,14.961508469883931,155.68922830446536,35713,POINT (10.7717716 106.6980728)
110596,51G44265,20,2018-04-24 17:17:52,11.0,106.69444166666666,10.770385666666668,247.9746238125544,300,1.0,2.9486074485458653,10.950003258709048,35713,POINT (10.77038566666667 106.6944416666667)
110601,51G44265,0,2018-04-24 17:18:18,21.0,106.69416866666666,10.770216499999998,320.8638005813587,300,2.0,14.942390547371733,59.355049186520546,35716,POINT (10.7702165 106.6941686666667)
110610,51G44265,9,2018-04-24 17:18:47,13.0,106.69359,10.771327,345.26646483564974,300,3.0,10.803201472700872,6.845665967861122,35716,POINT (10.771327 106.69359)
110612,51G44265,0,2018-04-24 17:18:53,18.0,106.69356333333332,10.771537333333333,44.676453836506795,300,2.0,9.975958586833347,42.14897259242737,35718,POINT (10.77153733333333 106.6935633333333)
110622,51G44265,10,2018-04-24 17:19:14,17.0,106.69478000000001,10.772314,56.75466164306857,300,8.0,42.40145471426897,1.0590968674932952,35718,POINT (10.772314 106.69478)
110623,51G44265,0,2018-04-24 17:19:22,30.0,106.695114,10.772518,53.30223993067477,300,41.0,224.76878547385812,3.452421712393793,35719,POINT (10.772518 106.695114)
110637,51G44265,14,2018-04-24 17:20:57,17.0,106.698,10.774508,31.86119933113185,300,2.0,9.148010490108478,3.69470027606722,35719,POINT (10.774508 106.698)
110645,51G44265,0,2018-04-24 17:23:55,39.0,106.69803,10.78073,310.61833801930544,300,3.0,36.07542761935301,301.76805454644335,35723,POINT (10.78073 106.69803)
110655,51G44265,10,2018-04-24 17:24:20,34.0,106.69645833333334,10.782153999999998,327.67480673090853,300,4.0,32.83627630486488,11.876809212181685,35723,POINT (10.782154 106.6964583333333)
110661,51G44265,16,2018-04-24 17:24:32,25.0,106.69616833333332,10.7828905,297.0814588836068,300,3.0,22.11270853760473,26.554709640968948,35723,POINT (10.7828905 106.6961683333333)
110665,51G44265,20,2018-04-24 17:24:44,30.0,106.69535,10.78319,312.2196202387321,300,5.0,25.887683908175212,7.3697897708004225,35723,POINT (10.78319 106.69535)
110684,51G44265,39,2018-04-24 17:26:57,13.0,106.6919,10.786355499999999,318.37132062514667,300,4.0,13.202206225642831,5.168201450113486,35723,POINT (10.7863555 106.6919)
110685,51G44265,0,2018-04-24 17:27:01,8.0,106.69181,10.786447,99.5682838802474,300,18.0,5.982737565489732,218.8030367448993,35724,POINT (10.786447 106.69181)
